,type,count
198,Dornier 228-201,19
199,Douglas C-118A (DC-6),19
200,Beech 1900C-1,19
201,Saab 340B,19
202,Ilyushin Il-62M,19
203,Douglas C-53 (DC-3),19
204,Learjet 35,19
205,Douglas C-124A Globemaster II,19
206,Douglas DC-3D,19
207,Consolidated Catalina,19
208,Beech B100 King Air,19
209,Convair CV-440,19
210,Lockheed P-3A Orion,19
211,Douglas AC-47D,19
212,Antonov An-8,19
213,Shorts 330-200,19
214,ATR 72-212A (ATR 72-500),19
215,Cessna F406 Caravan II,19
216,Lockheed P-3C Orion,19
217,MD-11F,18
218,Fairchild FH-227B,18
219,Douglas DC-6BF,18
220,Lockheed 14-H2 Super Electra,18
221,Beech C99,18
222,Learjet 24D,18
223,SE-210 Caravelle VI-N,18
224,Douglas DC-7B,18
225,Canadair CL-415,18
226,Consolidated PBY-2 Catalina,18
227,DH.86 Express,18
228,Swearingen SA226-AT Merlin IV,18
229,Fokker F.10A,17
230,Junkers Ju-52/3mg4e,17
231,Saab 340A,17
232,Boeing 707-321C,17
233,Douglas C-54 (DC-4),17
234,Douglas DC-2-112,17
235,GAF Nomad N.22B,17
236,Antonov An-2SX,17
237,Beech 99A,17
238,Beech 300 Super King Air,17
239,Tupolev Tu-134A-3,17
240,Douglas VC-47D (DC-3),17
241,Vickers 745D Viscount,17
242,ATR 42-320,17
243,Douglas C-54E (DC-4),17
244,Basler Turbo 67 (DC-3T),17
245,Cessna 525 CitationJet,17
246,Embraer EMB-120ER Brasilia,16
247,Rockwell Sabreliner 60,16
248,BN-2A-9 Islander,16
249,Shorts SC.7 Skyvan 3-100,16
250,Lockheed P2V-2 Neptune,16
251,C-7B Caribou (DHC-4),16
252,Boeing KC-97G Stratofreighter,16
253,Canadair CRJ-200ER,16
254,Lockheed L-100-20 Hercules,16
255,DH-114 Heron 1B,16
256,Cessna 208B Grand Caravan EX,16
257,Airbus A320-211,16
258,Short S.23 Empire Flying Boat Mk I,16
259,Cessna 208B Supervan 900,15
260,Douglas DC-7,15
261,Lockheed P2V-7 Neptune,15
262,Gulfstream G-IV,15
263,BAe 3101 Jetstream 31,15
264,Airbus A320-231,15
265,Embraer Phenom 100,15
266,DHC-6 Twin Otter 310,15
267,Short Sunderland,15
268,Tupolev Tu-104A,15
269,Convair CV-990,15
270,Lockheed L-1011 TriStar,15
271,ATR 72-212A (ATR 72-600),15
272,Boeing 737-8AS (WL),15
273,BN-2A-3 Islander,15
274,Douglas C-53D-DO (DC-3),15
275,BN-2A Trislander Mk.III-2,14
276,Fairchild C-119 Flying Boxcar,14
277,Learjet 24,14
278,Cessna S550 Citation S/II,14
279,Embraer EMB-110C Bandeirante,14
280,Lockheed C-60A-1-LO Lodestar,14
281,Airbus A300B4-203,14
282,Bristol 170 Freighter 21E,14
283,BN-2 Islander,14
284,DC-8-63CF,14
285,Farman F.60 Goliath,14
286,Yakovlev Yak-40K,14
287,Rockwell Sabreliner 75A,14
288,Learjet 55,14
289,Lockheed P-3B Orion,14
290,Antonov An-2V,14
291,Dornier Do 28D-2 Skyservant,14
292,Rockwell 1121 Jet Commander,14
293,Shorts SC.7 Skyvan 3-200,14
294,Antonov An-12TB,14
295,Let L-410UVP-E3,13
296,Douglas C-49J (DC-3),13
297,Boeing 377 Stratocruiser,13
298,Lockheed 14-WF62 Super Electra,13
299,C-7A Caribou (DHC-4),13
300,Bristol 170 Freighter 21,13
301,GAF Nomad N.24A,13
302,Boeing 747,13
303,Lockheed L-188C Electra,13
304,DHC-3T Texas Turbine Otter,13
305,Beech 200C Super King Air,13
306,ATR 42-300,13
307,Antonov An-2M,13
308,Cessna 560 Citation Encore,13
309,IAI 1124A Westwind II,13
310,Lockheed L-188AF Electra,13
311,SE-210 Caravelle VI-R,13
312,Tupolev Tu-124V,13
313,Douglas VC-47A (DC-3),13
314,Dornier Do 28D-1 Skyservant,13
315,Cessna T-47A Citation II,13
316,Learjet 60,13
317,Avro 685 York I,12
318,DC-8-61,12
319,Short Sunderland MR.5,12
320,Boeing 707-300,12
321,Beech B300 King Air 350,12
322,Sabreliner 40,12
323,Boeing 737-4Y0,12
324,Cessna 560 Citation V,12
325,MD-88,12
326,Lockheed C-141B Starlifter,12
327,Ilyushin Il-76M,12
328,Ford 4-AT-E Tri-Motor,12
329,Curtiss C-46E,12
330,Boeing 707-321B,12
331,Martin 2-0-2,12
332,DC-10-10,12
333,MD-11,12
334,Xian MA60,12
335,Dornier 328-110,12
336,BN-2B-26 Islander,12
337,Ford 5-AT-D Tri-Motor,12
338,Cessna 551 Citation II/SP,12
339,Learjet 25,12
340,ATR 42-500,11
341,Embraer ERJ-190,11
342,Avro Shackleton MR.2,11
343,Let L-410UVP-E20,11
344,IAI 1124 Westwind,11
345,Douglas DC-2-115E,11
346,Cessna 525A CitationJet CJ2,11
347,Curtiss R5C-1 (C-46),11
348,CV-2B Caribou (DHC-4),11
349,Raytheon Beechjet 400A,11
350,DH-106 Comet 4,11
351,Lockheed WV-2 Super Constellation,11
352,Learjet 36A,11
353,SNCASE SE.161/P7 Languedoc,11
354,Douglas R5D-3 (DC-4),11
355,Airbus A310-304,11
356,Shorts 360-300,11
357,Boeing 707-323C,11
358,PBV-1A Canso (PBY-5A),11
359,Morane Saulnier MS.760 Paris I,11
360,Consolidated C-10A Catalina (PBY-5A),10
361,DHC-7-102,10
362,Lockheed 14-H Super Electra,10
363,Dornier 228-212,10
364,Cessna 650 Citation III,10
365,Fairchild C-119B Flying Boxcar,10
366,Avro RJ100,10
367,ATR 72-212,10
368,Antonov An-26B-100,10
369,DHC-6 Twin Otter,10
370,Dassault Falcon 20F,10
371,ATR 72-202,10
372,Tupolev Tu-154B-1,10
373,Cessna 560XL Citation Excel,10
374,PB2B-1 Canso A (PBY-5A),10
375,Vickers 806 Viscount,10
376,Morane Saulnier (FMA) MS.760 Paris I,10
377,Boeing B-17G,10
378,DC-9-15,10
379,BN-2A-7 Islander,10
380,Handley Page Hastings C.2,10
381,Gulfstream Aerospace G-1159A Gulfstream III,10
382,T-39A Sabreliner,10
383,Mitsubishi Mu-300 Diamond IA,10
384,Beech Beechjet 400A,10
385,Rockwell Sabreliner 65,10
386,Antonov An-12A,10
387,Ilyushin Il-62,10
388,Scottish Aviation Twin Pioneer CC.1,10
389,Douglas DC-2-120,9
390,Vickers 802 Viscount,9
391,PB2B-1 Catalina,9
392,Douglas DC-6A/B,9
393,Antonov An-10A,9
394,Lockheed L-100 Hercules,9
395,Boeing 737-7H4 (WL),9
396,Fairchild F-27A,9
397,Vickers 785D Viscount,9
398,Avro 691 Lancastrian C.1,9
399,Boeing 720-023B,9
400,Douglas DC-3-178,9
401,Airbus A321-211,9
402,DC-8-62,9
403,Beech B99,9
404,Shorts 360-100,9
405,Lockheed L-1011 TriStar 1,9
406,Scottish Aviation Twin Pioneer 1,9
407,Lockheed L-1649A Starliner,9
408,Vickers 615 Viking 1B,9
409,Let L-410M,9
410,Raytheon 390 Premier I,9
411,Lockheed 18 Learstar I,9
412,Fairchild SA227-DC Metro 23,9
413,Canadair CRJ-200LR,9
414,Curtiss C-46 Super C,9
415,DHC-8-301,9
416,BAe-125-800A,9
417,Howard 350,9
418,Boeing 737-4Q8,9
419,Embraer EMB-145LR (ERJ-145LR),9
420,Boeing 737-823 (WL),9
421,Shorts SC.7 Skyvan 3M-400,9
422,Let L-410UVP-E9,9
423,Short S.25 Sunderland 3,9
424,BAe 3102 Jetstream 31,9
425,DH-106 Comet 4C,9
426,Grumman C-2A Greyhound,9
427,Learjet 25C,9
428,Embraer EMB-110P Bandeirante,9
429,Junkers Ju-52/3mte,9
430,Martin PBM-5 Mariner,9
431,Bristol 170 Freighter 31M,9
432,Lockheed C-130 Hercules,9
433,Embraer Phenom 300,8
434,Lockheed P2V-3 Neptune,8
435,Cessna 750 Citation X,8
436,Airbus A300B4-622R,8
437,Yakovlev Yak-42,8
438,Boeing 737-222,8
439,DH.86A Express,8
440,DH-114 Heron 2D,8
441,SNCASE SE.161 Languedoc,8
442,Douglas DC-3-194B,8
443,Learjet 24B,8
444,Dassault Falcon 50,8
445,Grumman HU-16E Albatross,8
446,Douglas DC-8-54F,8
447,Grumman G-1159 Gulfstream II,8
448,Lockheed KC-130F Hercules,8
449,Embraer EMB-110P2 Bandeirante,8
450,Fokker F.XII,8
451,Bristol 170 Freighter 31,8
452,Tupolev Tu-134AK,8
453,Boeing 747-121,8
454,DC-9-81 (MD-81),8
455,Grumman HU-16B Albatross,8
456,Douglas C-33 (DC-2),8
457,Boeing 727-59,8
458,Douglas C-39 (DC-2),8
459,MD-83,8
460,Lockheed SP-2H Neptune,8
461,Boeing 727-231,8
462,Kaiser-Frazer C-119G Flying Boxcar,8
463,Sud-Aviation SE-210 Caravelle,8
464,Blackburn Beverley C.1,8
465,Lockheed L-188CF Electra,8
466,Airspeed AS.57 Ambassador 2,8
467,Avro 691 Lancastrian C.3,8
468,Convair CV-640,8
469,A̩rospatiale SN.601 Corvette,8
470,Convair CV-240-2,8
471,Douglas Dakota I (DC-3),8
472,Airbus A300B4-203 (F),8
473,BAC One-Eleven,8
474,Avia 14,8
475,Hawker Siddeley HS-121 Trident 2E,8
476,MBB HFB-320 Hansa Jet,8
477,Douglas DC-2-243,8
478,Tupolev Tu-154B,8
479,ATL-98 Carvair,8
480,Junkers Ju-52/3mg5e,8
481,Canadair Challenger 601,8
482,Vickers 701 Viscount,8
483,Boeing 727-21,8
484,Douglas DC-3 (Nakajima L2D),8
485,Savoia-Marchetti SM-75,8
486,Junkers Ju-52/3mg8e,8
487,Airbus A319-111,8
488,Howard Super Ventura,8
489,Douglas DC-9-14,8
490,Hawker Beech 390 Premier IA,7
491,Eclipse 500,7
492,Curtiss R5C-1 (C-46A),7
493,Grumman HU-16A Albatross,7
494,AMI DC-3-65TP,7
495,Convair CV-440-11,7
496,Honda HA-420 HondaJet,7
497,DC-8-63F,7
